"Comment ID","Comment Published Date","Comment Author Name","Comment Content","Is Thread","Comment Likes Count","Comment Replies Count","Comment URL"
"UgzNVT9FHW__md0B6dJ4AaABAg","2017-12-07 15:50:06","natea nara","was she high?","true","0","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzNVT9FHW__md0B6dJ4AaABAg"
"UgyrUDEvuHMiw2tNMrt4AaABAg","2018-01-22 01:27:11","Brian King","Anyone else notice that the guitar is completely inaudible the whole time?","true","1","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgyrUDEvuHMiw2tNMrt4AaABAg"
"UgzbSxEDC1PLpkAEZtx4AaABAg","2018-01-24 19:14:01","Ellen Moreira","Guys I just got $4162on my paypal from this tool without paying anything:(just go to) ~> freepplmoney.win/?6IWohl","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzbSxEDC1PLpkAEZtx4AaABAg"
"UgzkrfyvzNHsgZbcaHx4AaABAg","2018-01-30 21:55:08","juli0sus","God, to play in that band. Yes, Fiona is fantastic, but it's also great to hear her backed by a killer group of musicians who are crushing it.","true","15","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzkrfyvzNHsgZbcaHx4AaABAg"
"UgzfswSJqhAfup3MOLV4AaABAg","2018-03-08 04:29:47","Rich Nittritz","been head over heals in love with Fiona since this amazing show what a true gift she is","true","3","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzfswSJqhAfup3MOLV4AaABAg"
"Ugzqz1TWrN551TQz3G14AaABAg","2018-03-16 07:17:13","Steve M","Take note kids, no autotune here, all skill","true","46","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugzqz1TWrN551TQz3G14AaABAg"
"UgzspL1aS1GOo7rEvS54AaABAg","2018-03-24 08:17:17","Don Dealgan","Tortured genius","true","9","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzspL1aS1GOo7rEvS54AaABAg"
"UgzdJTTGyJzs9MItT5t4AaABAg","2018-05-14 05:09:34","DizzieDaCrazzie88","sept. 3 1997 my 10th birthday 😂","true","3","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzdJTTGyJzs9MItT5t4AaABAg"
"UgxTyIAlwghGRw7MtGl4AaABAg","2018-05-14 21:39:52","t mac","Shit this ain't nothing. When I was 19, I could smoke more bud than anyone along the Eastern seaboard.","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxTyIAlwghGRw7MtGl4AaABAg"
"UgwZ-2Zm_5u3eGKX7hh4AaABAg","2018-06-02 23:45:39","The T-Man Show","I would fucking pet her from the insides. Omg I love her body and those eyes.... HORRIBLE voice tho. She sounds lile she's jumping WICKED fast when she's singing","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwZ-2Zm_5u3eGKX7hh4AaABAg"
"Ugymo21iw8xigpziPmN4AaABAg","2018-06-18 04:09:01","jgzero18","I miss the talented female music artists from the 90's.","true","17","2","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugymo21iw8xigpziPmN4AaABAg"
"UgzMfPfLouf0YO2n8jR4AaABAg","2018-07-02 21:33:54","no body","Wow","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzMfPfLouf0YO2n8jR4AaABAg"
"UgzlfnRyRhOGGrN2uCp4AaABAg","2018-07-21 22:08:58","Brandon Mullan","Her range of emotions.","true","9","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzlfnRyRhOGGrN2uCp4AaABAg"
"Ugw4_4KOhl6KaAMDIZt4AaABAg","2018-07-31 07:37:10","Erik James","wow. Fiona effing crushed that so hard. i am speechless...","true","5","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugw4_4KOhl6KaAMDIZt4AaABAg"
"UgwzJdBtY2YBrULvewF4AaABAg","2018-08-04 12:35:30","Max Welter","absolutely brilliant. an old soul in a 19 year olds body","true","12","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwzJdBtY2YBrULvewF4AaABAg"
"UgxgPpu6MPYXbo9goHB4AaABAg","2018-08-09 00:16:13","Elite Casino Events","She absolutely SLAYED that song.  My gosh. So much talent.  LOVED everything about this.","true","15","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxgPpu6MPYXbo9goHB4AaABAg"
"UgwlTOesAKMqJ9_EZvF4AaABAg","2018-08-13 20:05:22","Rudy Wilson","shes so amazing....has interesting 'quirks' in this one!  Charming..!","true","3","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwlTOesAKMqJ9_EZvF4AaABAg"
"UgwEPKBvvcuycSlL64x4AaABAg","2018-08-28 22:14:43","Michael Paiva","Wow amazing performance and she looks smoking hott in this performance..just like the music video too 😜","true","5","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwEPKBvvcuycSlL64x4AaABAg"
"Ugx5fAqWQzpyHASlxEF4AaABAg","2018-09-13 07:35:14","David Jacob","Fantastic performance and vocalist!!! 👌😁👍   Plus, beautiful little body 😍😘🌹","true","3","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugx5fAqWQzpyHASlxEF4AaABAg"
"UgwUMc-c2lIIZoUFOp54AaABAg","2018-11-06 06:35:46","robert jaramillo","SO. FREAKIN'. SEXY.💓","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwUMc-c2lIIZoUFOp54AaABAg"
"UgwEmeRH3LJ8pg7kiQx4AaABAg","2018-12-18 12:28:23","The Real BAZOOKABUBBA","She's possessed by her slave masters!","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwEmeRH3LJ8pg7kiQx4AaABAg"
"UgzzgnuSZPmDSTForMB4AaABAg","2019-01-27 03:48:31","Harley Likes Magic","I. Miss. The. 90s.

Sue me.","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzzgnuSZPmDSTForMB4AaABAg"
"UgweEfGP40ctnatIGR54AaABAg","2019-01-31 23:59:44","Mad Dog Rc","So sexy😍","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgweEfGP40ctnatIGR54AaABAg"
"UgwM9VdMiGH-IuPzxBR4AaABAg","2019-02-12 08:28:49","Flip Jupiter","She needed to be in a hard rock band. Shes amazing.","true","2","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwM9VdMiGH-IuPzxBR4AaABAg"
"UgxRtHB2SF4izBZAnyV4AaABAg","2019-04-14 20:17:36","DEEJAAY41","Wow, just wow!","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxRtHB2SF4izBZAnyV4AaABAg"
"UgzUDTXSU4R2cqivpzt4AaABAg","2019-04-28 15:21:47","Firas Harb","The only unique thing I see about her is that she’s an impressive song writer but to me shes got no vocal talent like her singing is very flat . nothing really shines about her honestly","true","0","2","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzUDTXSU4R2cqivpzt4AaABAg"
"Ugx60VTDtY08eOAld6B4AaABAg","2019-05-08 14:55:13","statistics yup","I miss 90s even tho I didn't exist.","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugx60VTDtY08eOAld6B4AaABAg"
"Ugw54s0RLTFCc4K6wlJ4AaABAg","2019-05-26 04:54:42","Steven Mctowelyey","Fuck she was so hot","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugw54s0RLTFCc4K6wlJ4AaABAg"
"Ugy7hByHXbnfuY7uUAx4AaABAg","2019-05-28 06:37:29","chickadee","fabulous!","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugy7hByHXbnfuY7uUAx4AaABAg"
"UgysfmYMwcJDMxahp814AaABAg","2019-05-30 13:08:40","slammerjax","Like a mix of Joblin and Alanis","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgysfmYMwcJDMxahp814AaABAg"
"Ugz4Qsq6w6kbkbsE2R14AaABAg","2019-05-31 04:51:06","WingsLDK","Billie Eilish wishes she could be like this","true","79","6","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugz4Qsq6w6kbkbsE2R14AaABAg"
"UgxWS7ioosOk7U-cux14AaABAg","2019-06-09 10:59:44","Matthew Libecap","We're taking 922L.","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxWS7ioosOk7U-cux14AaABAg"
"UgyACfVNfcepH7oFNkd4AaABAg","2019-06-09 11:00:26","Matthew Libecap","I 💘 Mus k.","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgyACfVNfcepH7oFNkd4AaABAg"
"Ugw85LDIND4B_aIoed94AaABAg","2019-06-09 11:01:06","Matthew Libecap","Come on BA. Single?","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugw85LDIND4B_aIoed94AaABAg"
"UgxhnBFwkg53dPsQnmB4AaABAg","2019-06-30 23:12:16","purorock y agüita","bkn la garraspeá de la voz","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxhnBFwkg53dPsQnmB4AaABAg"
"UgxCpCBptYyDApq6h9p4AaABAg","2019-07-04 17:53:53","Robert RamJam","After the show Ally Sheedy and Fiona sat in the Green room and ate Cap'n Crunch and Pixie Stix sandwiches.","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxCpCBptYyDApq6h9p4AaABAg"
"UgynHK0rGkKg29eHBEV4AaABAg","2019-07-07 04:09:56","peter athanasakos","Man does she got it.","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgynHK0rGkKg29eHBEV4AaABAg"
